oid,url
2.16.840.1.113883.1.11.19313,http://terminology.hl7.org/ValueSet/v3-RoleClassAssociative
2.16.840.1.113883.21.318,http://terminology.hl7.org/ValueSet/v2-0474
2.16.840.1.113883.4.642.3.1081,http://terminology.hl7.org/ValueSet/device-status-reason
2.16.840.1.113883.1.11.18131,http://terminology.hl7.org/ValueSet/v3-Algic
2.16.840.1.114222.4.5.314,http://terminology.hl7.org/CodeSystem/PHOccupationCDCCensus2010
2.16.840.1.113883.5.1062,http://terminology.hl7.org/CodeSystem/v3-ManagedParticipationStatus
2.16.840.1.113883.1.11.20442,http://terminology.hl7.org/ValueSet/v3-RoleClassEventLocation
2.16.840.1.113883.21.451,http://terminology.hl7.org/ValueSet/v2-0927
2.16.840.1.113883.18.173,http://terminology.hl7.org/CodeSystem/v2-0280
2.16.840.1.113883.6.101,http://nucc.org/provider-taxonomy
2.16.840.1.113883.1.11.20048,http://terminology.hl7.org/ValueSet/v3-EntityClassStateOrProvince
2.16.840.1.113883.1.11.10286,http://terminology.hl7.org/ValueSet/v3-ParticipationTargetDirect
2.16.840.1.113883.1.11.20364,http://terminology.hl7.org/ValueSet/v3-QualityMeasureSectionType
2.16.840.1.113883.1.11.20545,http://terminology.hl7.org/ValueSet/v3-ProvenanceEventCurrentState-AS
2.16.840.1.113883.6.270,http://terminology.hl7.org/CodeSystem/NHSNSummaryData
2.16.840.1.113883.6.271,http://terminology.hl7.org/CodeSystem/NHSNProcedureCategory
2.16.840.1.113883.21.91,http://terminology.hl7.org/ValueSet/v2-0161
2.16.840.1.113883.18.4,http://terminology.hl7.org/CodeSystem/v2-0003
2.16.840.1.113883.4.642.1.1049,http://terminology.hl7.org/CodeSystem/special-values
2.16.840.1.113883.1.11.20220,http://terminology.hl7.org/ValueSet/v3-ActClassIncident
2.16.840.1.113883.1.11.20209,http://terminology.hl7.org/ValueSet/v3-ActClassClinicalTrialTimepointEvent
2.16.840.1.113883.4.642.3.761,http://terminology.hl7.org/ValueSet/consent-scope
2.16.840.1.113883.4.642.1.1077,http://terminology.hl7.org/CodeSystem/communication-not-done-reason
2.16.840.1.113883.21.156,http://terminology.hl7.org/ValueSet/v2-0248
2.16.840.1.113883.1.11.19648,http://terminology.hl7.org/ValueSet/v3-xClinicalStatementEncounterMood
2.16.840.1.113883.1.11.14804,http://terminology.hl7.org/ValueSet/v3-ActFinancialTransactionCode
2.16.840.1.113883.1.11.20031,http://terminology.hl7.org/ValueSet/v3-ContextControlAdditiveNon-propagating
2.16.840.1.113883.21.393,http://terminology.hl7.org/ValueSet/v2-0618
2.16.840.1.113883.4.330.32,http://hl7.org/fhir/sid/passport-ARG
2.16.840.1.113883.1.11.20550,http://terminology.hl7.org/ValueSet/v3-ActInformationAccessContextCode
2.16.840.1.113883.1.11.19607,http://terminology.hl7.org/ValueSet/v3-UnorderedListStyle
2.16.840.1.113883.1.11.16665,http://terminology.hl7.org/ValueSet/v3-ConditionDetectedIssueCode
2.16.840.1.113883.18.67,http://terminology.hl7.org/CodeSystem/v2-0146
2.16.840.1.113883.1.11.20537,http://terminology.hl7.org/ValueSet/v3-SecurityTrustAgreementObservationType
2.16.840.1.113883.18.337,http://terminology.hl7.org/CodeSystem/v2-0516
2.16.840.1.113883.18.137,http://terminology.hl7.org/CodeSystem/v2-0238
2.16.840.1.113883.21.266,http://terminology.hl7.org/ValueSet/v2-notAllCodes-0399
2.16.840.1.113883.1.11.19946,http://terminology.hl7.org/ValueSet/v3-ActMoodRecommendation
2.16.840.1.113883.1.11.19813,http://terminology.hl7.org/ValueSet/v3-IndividualInsuredCoveredPartyRoleType
2.16.840.1.113883.21.478,http://terminology.hl7.org/ValueSet/v2-0970
2.16.840.1.113883.1.11.14609,http://terminology.hl7.org/ValueSet/v3-IntravenousInfusion
2.16.840.1.113883.18.243,http://terminology.hl7.org/CodeSystem/v2-0392
2.16.840.1.113883.1.11.20107,http://terminology.hl7.org/ValueSet/v3-RoleClassAccess
2.16.840.1.113883.1.11.10653,http://terminology.hl7.org/ValueSet/v3-xPersonNamePartType
2.16.840.1.113883.1.11.20214,http://terminology.hl7.org/ValueSet/v3-ActClassDocumentBody
2.16.840.1.113883.21.280,http://terminology.hl7.org/ValueSet/v2-0423
2.16.840.1.113883.21.72,http://terminology.hl7.org/ValueSet/v2-0136
2.16.840.1.113883.4.642.1.1327,http://terminology.hl7.org/CodeSystem/medicationrequest-course-of-therapy
2.16.840.1.113883.4.642.1.0,http://terminology.hl7.org/CodeSystem/audit-event-outcome
2.16.840.1.113883.1.11.20492,http://terminology.hl7.org/ValueSet/v3-ActRelationshipContainsStartOf
2.16.840.1.113883.21.385,http://terminology.hl7.org/ValueSet/v2-0566
1.0.3166.2,urn:iso:std:iso:3166:-2
2.16.840.1.113883.1.11.18554,http://terminology.hl7.org/ValueSet/v3-MissouriRiver
2.16.840.1.113883.1.11.14584,http://terminology.hl7.org/ValueSet/v3-Diffusion
2.16.840.1.113883.1.11.20044,http://terminology.hl7.org/ValueSet/v3-EntityClassMicroorganism
2.16.840.1.113883.18.253,http://terminology.hl7.org/CodeSystem/v2-0404
2.16.840.1.113883.1.11.10282,http://terminology.hl7.org/ValueSet/v3-ParticipationSignature
2.16.840.1.113883.1.11.19988,http://terminology.hl7.org/ValueSet/v3-ActRelationshipItemsLocated
2.16.840.1.113883.1.11.11631,http://terminology.hl7.org/ValueSet/v3-TribalEntityUS
2.16.840.1.113883.4.330.120,http://hl7.org/fhir/sid/passport-CMR
2.16.840.1.113883.1.11.20205,http://terminology.hl7.org/ValueSet/v3-ActClassConditionNode
2.16.840.1.113883.1.11.19732,http://terminology.hl7.org/ValueSet/v3-ActTransportationModeCode
2.16.840.1.113883.4.642.3.580,http://terminology.hl7.org/ValueSet/claim-exception
2.16.840.1.113883.4.330.716,http://hl7.org/fhir/sid/passport-ZWE
2.16.840.1.113883.4.330.184,http://hl7.org/fhir/sid/passport-COK
2.16.840.1.113883.1.11.190,http://terminology.hl7.org/ValueSet/v3-AddressUse
2.16.840.1.113883.21.292,http://terminology.hl7.org/ValueSet/v2-0435
2.16.840.1.113883.21.28,http://terminology.hl7.org/ValueSet/v2-0065
2.16.840.1.113883.18.237,http://terminology.hl7.org/CodeSystem/v2-0384
2.16.840.1.113883.1.11.15076,http://terminology.hl7.org/ValueSet/v3-RaceAmericanIndianDelaware
2.16.840.1.113883.4.642.1.1176,http://terminology.hl7.org/CodeSystem/benefit-type
2.16.840.1.113883.4.642.3.1328,http://terminology.hl7.org/ValueSet/coverage-financial-exception
