"code","name"
"1000647","pilocarpine hydrochloride 10 MG/ML Ophthalmic Solution"
"1000659","pilocarpine hydrochloride 10 MG/ML [Pilocar]"
"1000660","pilocarpine hydrochloride 10 MG/ML Ophthalmic Solution [Pilocar]"
"1000663","pilocarpine hydrochloride 100 MG/ML"
"1000664","pilocarpine hydrochloride 100 MG/ML Ophthalmic Solution"
"1000667","pilocarpine hydrochloride 2.5 MG/ML"
"1000668","pilocarpine hydrochloride 2.5 MG/ML Ophthalmic Solution"
"1000673","sulfacetamide sodium 0.1 MG/MG Ophthalmic Ointment"
"1000705","benzalkonium / tolnaftate"
"1000706","benzocaine / salicylamide"
"1000708","betamethasone / clioquinol"
"1000711","betamethasone / salicylic acid"
"1000713","sulfacetamide sodium 0.1 MG/MG Topical Gel"
"1000719","sulfacetamide sodium 100 MG/ML / sulfur 10 MG/ML [BP 10-Wash]"
"1000720","sulfacetamide sodium 100 MG/ML / sulfur 10 MG/ML Medicated Liquid Soap [BP 10-Wash]"
"1000731","sulfacetamide sodium 100 MG/ML / sulfur 20 MG/ML Topical Cream"
"1000736","sulfacetamide sodium 100 MG/ML / sulfur 20 MG/ML Topical Cream [Avar]"
"1000859","sulfacetamide sodium 100 MG/ML / sulfur 40 MG/ML Medicated Liquid Soap"
"1000860","sulfacetamide sodium 100 MG/ML / sulfur 40 MG/ML [BP Cleansing Wash]"
"1000861","sulfacetamide sodium 100 MG/ML / sulfur 40 MG/ML Medicated Liquid Soap [BP Cleansing Wash]"
"1000862","pilocarpine hydrochloride 20 MG/ML Ophthalmic Solution"
"1000867","sulfacetamide sodium 0.025 MG/MG"
"1000868","sulfacetamide sodium 0.025 MG/MG Ophthalmic Ointment"
"1000869","pilocarpine hydrochloride 20 MG/ML [Isoptocarpine]"
"1000870","pilocarpine hydrochloride 20 MG/ML Ophthalmic Solution [Isoptocarpine]"
"1000873","sulfacetamide sodium 0.06 MG/MG"
"1000874","sulfacetamide sodium 0.06 MG/MG Ophthalmic Ointment"
"1000875","pilocarpine hydrochloride 20 MG/ML [Pilocar]"
"1000876","pilocarpine hydrochloride 20 MG/ML Ophthalmic Solution [Pilocar]"
"1000883","pilocarpine hydrochloride 30 MG/ML"
"1000884","pilocarpine hydrochloride 30 MG/ML Ophthalmic Solution"
"1000895","sulfacetamide sodium 100 MG/ML / sulfur 20 MG/ML Medicated Liquid Soap"
"1000897","pilocarpine hydrochloride 40 MG/ML Ophthalmic Solution"
"1000902","pilocarpine hydrochloride 40 MG/ML [Isoptocarpine]"
"1000903","pilocarpine hydrochloride 40 MG/ML Ophthalmic Solution [Isoptocarpine]"
"1000906","pilocarpine hydrochloride 40 MG/ML [Pilocar]"
"1000907","pilocarpine hydrochloride 40 MG/ML Ophthalmic Solution [Pilocar]"
"1000912","pilocarpine hydrochloride 5 MG"
"1000913","pilocarpine hydrochloride 5 MG Oral Tablet"
"1000914","pilocarpine hydrochloride 5 MG [Salagen]"
"1000915","pilocarpine hydrochloride 5 MG Oral Tablet [Salagen]"
"1000916","pilocarpine hydrochloride 5 MG/ML"
"1000917","pilocarpine hydrochloride 5 MG/ML Ophthalmic Solution"
"1000938","pilocarpine hydrochloride 60 MG/ML"
"1000939","pilocarpine hydrochloride 60 MG/ML Ophthalmic Solution"
"1000946","sulfacetamide sodium 100 MG/ML / sulfur 40 MG/ML Medicated Pad"
"1000975","sulfacetamide sodium 100 MG/ML / sulfur 40 MG/ML [Sumaxin]"
"1000976","sulfacetamide sodium 100 MG/ML / sulfur 40 MG/ML Medicated Pad [Sumaxin]"
"1000977","oxymetazoline hydrochloride 0.25 MG/ML"
"1000978","oxymetazoline hydrochloride 0.25 MG/ML Nasal Solution"
"1000979","oxymetazoline hydrochloride 0.25 MG/ML [Afrin]"
"1000981","oxymetazoline hydrochloride 0.25 MG/ML Ophthalmic Solution"
"1000986","oxymetazoline hydrochloride 0.5 MG/ML"
"1000987","oxymetazoline hydrochloride 0.5 MG/ML Nasal Solution"
"1000990","oxymetazoline hydrochloride 0.5 MG/ML Nasal Spray"
"1000991","oxymetazoline hydrochloride 0.5 MG/ML [Afrin]"
"1000992","oxymetazoline hydrochloride 0.5 MG/ML Nasal Spray [Afrin]"
"1000993","oxymetazoline hydrochloride 0.5 MG/ML [Allerest 12 Hour Nasal Spray]"
"1000994","oxymetazoline hydrochloride 0.5 MG/ML Nasal Spray [Allerest 12 Hour Nasal Spray]"
"1000995","oxymetazoline hydrochloride 0.5 MG/ML [Dristan 12-Hour Nasal Spray]"
"1000996","oxymetazoline hydrochloride 0.5 MG/ML Nasal Spray [Dristan 12-Hour Nasal Spray]"
"1001","antipyrine"
"1001001","oxymetazoline hydrochloride 0.5 MG/ML [Duramist Plus]"
"1001002","oxymetazoline hydrochloride 0.5 MG/ML Nasal Spray [Duramist Plus]"
"1001003","pilocarpine hydrochloride 7.5 MG"
"1001004","pilocarpine hydrochloride 7.5 MG Oral Tablet"
"1001005","pilocarpine hydrochloride 7.5 MG [Salagen]"
"1001006","pilocarpine hydrochloride 7.5 MG Oral Tablet [Salagen]"
"1001013","pilocarpine hydrochloride 80 MG/ML"
"1001014","pilocarpine hydrochloride 80 MG/ML Ophthalmic Solution"
"1001053","oxymetazoline hydrochloride 0.5 MG/ML [Neo-Synephrine 12 Hour]"
"1001054","oxymetazoline hydrochloride 0.5 MG/ML Nasal Spray [Neo-Synephrine 12 Hour]"
"1001057","oxymetazoline hydrochloride 0.5 MG/ML [Nostrilla]"
"1001058","oxymetazoline hydrochloride 0.5 MG/ML Nasal Spray [Nostrilla]"
"1001065","oxymetazoline hydrochloride 0.5 MG/ML [Sinex Long-Acting]"
"1001066","oxymetazoline hydrochloride 0.5 MG/ML Nasal Spray [Sinex Long-Acting]"
"1001080","oxymetazoline hydrochloride 0.5 MG/ML [Sudafed OM]"
"1001081","oxymetazoline hydrochloride 0.5 MG/ML Nasal Spray [Sudafed OM]"
"1001083","oxymetazoline hydrochloride 0.5 MG/ML [Zicam Sinus Relief]"
"1001084","oxymetazoline hydrochloride 0.5 MG/ML Nasal Spray [Zicam Sinus Relief]"
"1001378","oxymetazoline hydrochloride 0.5 MG/ML Ophthalmic Solution"
"10014","squalene"
"1001401","pilocarpine hydrochloride 1 MG/ML"
"1001402","pilocarpine hydrochloride 1 MG/ML Ophthalmic Solution"
"1001404","docetaxel 20 MG/ML"
"1001405","docetaxel 20 MG/ML Injectable Solution"
"1001408","ergocalciferol 125 UNT"
"1001409","calcium carbonate 625 MG / ergocalciferol 125 UNT Oral Tablet"
"1001432","cabazitaxel 40 MG/ML"
"1001433","1.5 ML cabazitaxel 40 MG/ML Injection"
"1001434","caffeine / magnesium salicylate"
"1001435","magnesium salicylate 162.5 MG"
"1001436","caffeine / magnesium salicylate Oral Tablet"
"1001437","caffeine 50 MG / magnesium salicylate 162.5 MG Oral Tablet"
"1001472","dutasteride / tamsulosin"
"1001567","iodine 10 MG/ML Topical Solution [Dairyland Brand Controlled Iodine Teat Dip]"
"1001569","levothyroxine Oral Solution"
"1001585","TachoSil"
"1001591","fibrinogen, human 337 MG / thrombin, human 123 UNT Medicated Patch"
"1001593","fibrinogen, human 337 MG / thrombin, human 123 UNT Medicated Patch [TachoSil]"
"1001679","calcium carbonate 400 MG / cholecalciferol 133 UNT / magnesium oxide 167 MG Oral Tablet"
"1001684","magnesium sulfate 0.0277 MEQ/ML"
"1001685","potassium sulfate 0.0374 MEQ/ML"
"1001686","sodium sulfate 0.257 MEQ/ML"
"1001687","magnesium sulfate / potassium sulfate / sodium sulfate Oral Solution"
"1001689","{2 (480 ML) (magnesium sulfate 0.0277 MEQ/ML / potassium sulfate 0.0374 MEQ/ML / sodium sulfate 0.257 MEQ/ML Oral Solution) } Pack"
"1001690","{2 (480 ML) (magnesium sulfate 0.0277 MEQ/ML / potassium sulfate 0.0374 MEQ/ML / sodium sulfate 0.257 MEQ/ML Oral Solution) } Pack [Suprep Bowel Prep Kit]"
"1001691","calcium carbonate 1250 MG / cholecalciferol 100 UNT / vitamin K1 0.04 MG Chewable Tablet"
"1001714","sulfacetamide sodium 90 MG/ML / sulfur 40 MG/ML Medicated Liquid Soap"
"1001751","calcium citrate 250 MG / cholecalciferol 100 UNT Oral Tablet"
"100213","Bifidobacterium infantis"
"1002293","formoterol / mometasone"
"1002299","nilotinib 150 MG [Tasigna]"
"1002300","nilotinib 150 MG Oral Capsule [Tasigna]"
"100272","Lactobacillus delbrueckii subsp. bulgaricus"
"100278","Lacticaseibacillus rhamnosus"
"10030","stannous fluoride"
"10032","stanozolol"
"10046","starch"
"1005706","calcium citrate 1190 MG / cholecalciferol 0.005 MG Oral Tablet"
"1005766","sulfacetamide sodium 100 MG/ML / sulfur 50 MG/ML [Avar]"
"1005767","sulfacetamide sodium 100 MG/ML / sulfur 50 MG/ML Medicated Liquid Soap [Avar]"
"1005819","sulfacetamide sodium 100 MG/ML / sulfur 50 MG/ML Medicated Pad"
"1005830","{48 (prednisolone 5 MG Oral Tablet) } Pack"
"1005831","{48 (prednisolone 5 MG Oral Tablet [MILLIPRED]) } Pack [Millipred DP 12 Day]"
"1005834","sulfacetamide sodium 100 MG/ML / sulfur 50 MG/ML Topical Cream"
"1005835","sulfacetamide sodium 100 MG/ML / sulfur 50 MG/ML Topical Cream [Avar]"
"1005843","sulfacetamide / sulfur Topical Cream [Plexion]"
"1005853","sulfacetamide sodium 100 MG/ML / sulfur 50 MG/ML Topical Foam"
"1005856","sulfacetamide sodium 100 MG/ML / sulfur 50 MG/ML Topical Lotion"
"1005920","ulipristal acetate"
"1005921","ulipristal"
"1005922","ulipristal acetate 30 MG"
"1005923","ulipristal Oral Tablet"
"1005924","ulipristal acetate 30 MG Oral Tablet"
"1005925","Ella"
"1005926","ulipristal acetate 30 MG [Ella]"
"1005927","ulipristal Oral Tablet [Ella]"
"1005928","ulipristal acetate 30 MG Oral Tablet [Ella]"
"1006046","vitamin B12 3 MG/ML"
"1006047","vitamin B12 3 MG/ML Injectable Solution"
"1006055","sulfacetamide sodium 100 MG/ML / sulfur 50 MG/ML [Rosanil]"
"1006056","sulfacetamide / sulfur Medicated Liquid Soap [Rosanil]"
"1006057","sulfacetamide sodium 100 MG/ML / sulfur 50 MG/ML Medicated Liquid Soap [Rosanil]"
"1006065","{21 (ethinyl estradiol 0.03 MG / levonorgestrel 0.15 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack [Altavera 28 Day]"
"1006079","benzocaine 0.2 MG/MG / menthol 0.02 MG/MG Oral Gel"
"1006094","petrolatum 0.649 MG/MG"
"1006095","allantoin / benzocaine / camphor / petrolatum Topical Ointment"
"1006096","allantoin 0.01 MG/MG / benzocaine 0.2 MG/MG / camphor 0.03 MG/MG / petrolatum 0.649 MG/MG Topical Ointment"
"1006104","sulfacetamide sodium 100 MG/ML / sulfur 20 MG/ML [Avar]"
"1006105","sulfacetamide sodium 100 MG/ML / sulfur 20 MG/ML Medicated Liquid Soap [Avar]"
"1006107","sulfacetamide sodium 100 MG/ML Medicated Liquid Soap"
"1006110","sulfacetamide sodium 100 MG/ML Medicated Liquid Soap [Ovace]"
"1006120","sulfacetamide sodium 100 MG/ML Ophthalmic Solution"
"1006121","sulfacetamide sodium 100 MG/ML [Bleph-10]"
"1006122","sulfacetamide sodium 100 MG/ML Ophthalmic Solution [Bleph-10]"
"1006196","hydrogen peroxide 5 MG/ML Topical Solution"
"1006258","Apiospora montagnei allergenic extract"
"1006287","Aspergillus flavus allergenic extract 50 MG/ML"
"1006288","Aspergillus flavus allergenic extract 50 MG/ML Injectable Solution"
"1006293","Aspergillus flavus allergenic extract 40000 UNT/ML"
"1006294","Aspergillus flavus allergenic extract 40000 UNT/ML Injectable Solution"
"1006297","Aspergillus niger var. niger allergenic extract"
"1006298","Aspergillus niger var. niger allergenic extract 50 MG/ML"
"1006299","Aspergillus niger var. niger allergenic extract Injectable Solution"
"1006300","Aspergillus niger var. niger allergenic extract 50 MG/ML Injectable Solution"
"1006310","Aspergillus repens allergenic extract"
"1006340","cayenne pepper allergenic extract"
"1006346","arabica coffee bean allergenic extract 100 MG/ML"
"1006347","arabica coffee bean allergenic extract 100 MG/ML Injectable Solution"
"1006348","pork allergenic extract 50 MG/ML"
"1006349","pork allergenic extract 50 MG/ML Injectable Solution"
"1006352","Russian thistle pollen extract 100 MG/ML"
"1006353","Russian thistle pollen extract 100 MG/ML Injectable Solution"
"1006360","Canada goldenrod pollen extract 100 MG/ML"
"1006361","Canada goldenrod pollen extract 100 MG/ML Injectable Solution"
"1006364","Canada goldenrod pollen extract 20000 UNT/ML"
"1006365","Canada goldenrod pollen extract 20000 UNT/ML Injectable Solution"
"1006366","Canada goldenrod pollen extract 40000 UNT/ML"
"1006367","Canada goldenrod pollen extract 40000 UNT/ML Injectable Solution"
"1006371","mango blossom pollen extract"
"1006372","mango blossom pollen extract 50 MG/ML"
"1006373","mango blossom pollen extract Injectable Solution"
"1006374","mango blossom pollen extract 50 MG/ML Injectable Solution"
"1006396","aminopentamide, sulfate"
"1006397","aminopentamide"
"1006439","sodium fluoride 50 MG/ML Mouthwash"
"1006469","doconexent"
"1006481","nettle pollen extract 100 MG/ML"
"1006482","nettle pollen extract 100 MG/ML Injectable Solution"
"1006485","nettle pollen extract 20000 UNT/ML"
"1006486","nettle pollen extract 20000 UNT/ML Injectable Solution"
"1006495","Indian wormwood sage pollen extract"
"1006501","silk allergenic extract 50 MG/ML"
"1006502","silk allergenic extract Injectable Solution"
"1006503","silk allergenic extract 50 MG/ML Injectable Solution"
"1006504","silk allergenic extract 100 MG/ML"
"1006505","silk allergenic extract 100 MG/ML Injectable Solution"
"1006506","tall oat grass pollen extract"
"1006510","barley malt allergenic extract"
"1006511","barley malt allergenic extract 50 MG/ML"
"1006512","barley malt allergenic extract Injectable Solution"
"1006513","barley malt allergenic extract 50 MG/ML Injectable Solution"
"1006555","Clinpro 5000"
"1006556","sodium fluoride 0.011 MG/MG [Clinpro 5000]"
"1006557","sodium fluoride Toothpaste [Clinpro 5000]"
"1006558","sodium fluoride 0.011 MG/MG Toothpaste [Clinpro 5000]"
"1006607","dexmethylphenidate hydrochloride 40 MG"
"1006608","24 HR dexmethylphenidate hydrochloride 40 MG Extended Release Oral Capsule"
"1006609","dexmethylphenidate hydrochloride 40 MG [Focalin]"
"1006610","24 HR dexmethylphenidate hydrochloride 40 MG Extended Release Oral Capsule [Focalin]"
"1006619","eprinomectin"
"1006620","eprinomectin 5 MG/ML"
"1006621","eprinomectin Topical Solution"
"1006622","eprinomectin 5 MG/ML Topical Solution"
"1006623","Eprinex"
"1006624","eprinomectin 5 MG/ML [Eprinex]"
"1006625","eprinomectin Topical Solution [Eprinex]"
"1006626","eprinomectin 5 MG/ML Topical Solution [Eprinex]"
"1006631","ivermectin / pyrantel Chewable Tablet"
"1006632","ivermectin 0.136 MG / pyrantel 114 MG Chewable Tablet"
"1006633","Heartgard Plus"
"1006634","ivermectin 0.136 MG / pyrantel 114 MG [Heartgard Plus]"
"1006635","ivermectin / pyrantel Chewable Tablet [Heartgard Plus]"
"1006637","ivermectin 0.136 MG / pyrantel 114 MG Chewable Tablet [Heartgard Plus]"
"1006640","pyrantel 227 MG"
"1006641","ivermectin 0.272 MG / pyrantel 227 MG Chewable Tablet"
"1006642","ivermectin 0.272 MG / pyrantel 227 MG [Heartgard Plus]"
"1006643","ivermectin 0.272 MG / pyrantel 227 MG Chewable Tablet [Heartgard Plus]"
"1006645","ivermectin 0.068 MG / pyrantel 57 MG Chewable Tablet"
"1006646","ivermectin 0.068 MG / pyrantel 57 MG [Heartgard Plus]"
"1006647","ivermectin 0.068 MG / pyrantel 57 MG Chewable Tablet [Heartgard Plus]"
"1006654","amprolium"
"1006655","amprolium 200 MG/ML"
"1006656","amprolium Oral Solution"
"1006657","amprolium 200 MG/ML Oral Solution"
"1006658","CORID"
"1006659","amprolium 200 MG/ML [CORID]"
"1006660","amprolium Oral Solution [CORID]"
"1006661","amprolium 200 MG/ML Oral Solution [CORID]"
"1006683","sulfacetamide sodium 100 MG/ML Topical Cream"
"1006684","sulfacetamide sodium 100 MG/ML Topical Cream [Ovace]"
"1006688","sulfacetamide sodium 100 MG/ML Topical Lotion"
"1006689","sulfacetamide sodium 100 MG/ML Topical Lotion [Carmol Scalp]"
"1006692","sulfacetamide sodium 100 MG/ML [Klaron]"
"1006693","sulfacetamide sodium 100 MG/ML Topical Lotion [Klaron]"
"1006710","sulfacetamide sodium 150 MG/ML Ophthalmic Solution"
"1006726","sulfacetamide sodium 200 MG/ML"
"1006727","sulfacetamide sodium 200 MG/ML Ophthalmic Solution"
"1006728","sulfacetamide sodium 300 MG/ML"
"1006729","sulfacetamide sodium 300 MG/ML Ophthalmic Solution"
"1006801","clozapine 150 MG Disintegrating Oral Tablet"
"1006812","albendazole 113.6 MG/ML"
"1006813","albendazole 113.6 MG/ML Oral Suspension"
"1006814","Valbazen"
"1006815","albendazole 113.6 MG/ML [Valbazen]"
"1006816","albendazole Oral Suspension [Valbazen]"
"1006817","albendazole 113.6 MG/ML Oral Suspension [Valbazen]"
"1006818","Vetprofen"
"1006819","carprofen 100 MG [Vetprofen]"
"1006820","carprofen Oral Tablet [Vetprofen]"
"1006821","carprofen 100 MG Oral Tablet [Vetprofen]"
"1006822","carprofen 25 MG [Vetprofen]"
"1006823","carprofen 25 MG Oral Tablet [Vetprofen]"
"1006824","carprofen 75 MG [Vetprofen]"
"1006825","carprofen 75 MG Oral Tablet [Vetprofen]"
"1006850","pyrantel 2.27 MG/ML"
"1006851","pyrantel 2.27 MG/ML Oral Suspension"
"1006852","RFD"
"1006853","pyrantel 2.27 MG/ML [RFD]"
"1006854","pyrantel Oral Suspension [RFD]"
"1006855","pyrantel 2.27 MG/ML Oral Suspension [RFD]"
"1006856","Nemex"
"1006857","pyrantel 4.54 MG/ML [Nemex]"
"1006858","pyrantel Oral Suspension [Nemex]"
"1006859","pyrantel 4.54 MG/ML Oral Suspension [Nemex]"
"1006860","Strongid"
"1006881","bromhexine / cephalexin"
"1006882","triclosan / vitamin E"
"1006883","pirenzepine / ranitidine"
"1006884","carboxymethylcellulose / danthron / poloxamer"
"1006885","bromhexine / erythromycin"
"1006886","phenylephrine / zinc oxide"
"1006887","acetaminophen / doxylamine / phenylephrine"
"1006889","dimethicone / menthol / pramoxine"
"1006890","chlorpheniramine / phenylpropanolamine / phenyltoloxamine / pseudoephedrine"
"1006891","chlorpheniramine / hydrocortisone / pyrilamine"
"1006892","belladonna alkaloids / kaolin / phenobarbital"
"1006894","hydrochlorothiazide / sotalol"
"1006895","fluocortolone caproate / fluocortolone pivalate"
"1006896","borage oil / docosahexaenoate / eicosapentaenoate"
"1006899","gamma-linolenate / vitamin E"
"1006900","glutamate / magnesium citrate"
"1006901","cascara sagrada / dehydrocholate"
"1006902","betaine / glutamate / pepsin A"
"1006903","pancreatin / vitamin B6"
"1006904","heparinoids / hyaluronidase"
"1006905","carbetapentane / guaiacolsulfonate / phenylephrine"
"1006906","sodium bicarbonate / sodium chloride / sodium phosphate, dibasic"
"1006907","ethanol / glucose"
"1006908","testosterone 17-phenylpropionate / testosterone decanoate / testosterone isocaproate / testosterone propionate"
"1006911","benzoate / salicylic acid"
