"code","name"
"1000000","amlodipine 5 MG / hydrochlorothiazide 12.5 MG / olmesartan medoxomil 40 MG Oral Tablet [Tribenzor]"
"1000001","amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet"
"1000003","amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG [Tribenzor]"
"1000005","amlodipine 5 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet [Tribenzor]"
"1000009","dimethicone 100 MG/ML / miconazole nitrate 20 MG/ML / zinc oxide 100 MG/ML Topical Spray"
"1000012","whole wheat allergenic extract 50 MG/ML"
"1000013","whole wheat allergenic extract 50 MG/ML Injectable Solution"
"1000023","methenamine mandelate 100 MG/ML"
"1000024","methenamine mandelate 100 MG/ML Oral Suspension"
"1000025","methenamine hippurate 1000 MG Oral Capsule"
"1000048","doxepin 10 MG Oral Capsule"
"1000054","doxepin 10 MG/ML Oral Solution"
"1000058","doxepin 100 MG Oral Capsule"
"1000064","doxepin 150 MG Oral Capsule"
"1000070","doxepin 25 MG Oral Capsule"
"1000076","doxepin 50 MG Oral Capsule"
"1000082","alcaftadine"
"1000083","alcaftadine 2.5 MG/ML"
"1000084","alcaftadine Ophthalmic Solution"
"1000085","alcaftadine 2.5 MG/ML Ophthalmic Solution"
"1000086","Lastacaft"
"1000087","alcaftadine 2.5 MG/ML [Lastacaft]"
"1000088","alcaftadine Ophthalmic Solution [Lastacaft]"
"1000089","alcaftadine 2.5 MG/ML Ophthalmic Solution [Lastacaft]"
"1000090","doxepin hydrochloride 50 MG/ML"
"1000091","doxepin hydrochloride 50 MG/ML Topical Cream"
"1000092","doxepin hydrochloride 50 MG/ML [Prudoxin]"
"1000093","doxepin hydrochloride 50 MG/ML Topical Cream [Prudoxin]"
"1000094","doxepin hydrochloride 50 MG/ML [Zonalon]"
"1000095","doxepin hydrochloride 50 MG/ML Topical Cream [Zonalon]"
"1000097","doxepin 75 MG Oral Capsule"
"1000104","incobotulinumtoxinA"
"1000107","incobotulinumtoxinA 200 UNT Injection"
"1000108","Xeomin"
"1000112","medroxyprogesterone acetate"
"1000113","medroxyprogesterone acetate 10 MG"
"1000114","medroxyprogesterone acetate 10 MG Oral Tablet"
"1000123","medroxyprogesterone acetate 10 MG [Provera]"
"1000124","medroxyprogesterone acetate 10 MG Oral Tablet [Provera]"
"1000125","medroxyprogesterone acetate 150 MG/ML"
"1000126","1 ML medroxyprogesterone acetate 150 MG/ML Injection"
"1000127","medroxyprogesterone acetate 150 MG/ML [Depo-Provera]"
"1000128","1 ML medroxyprogesterone acetate 150 MG/ML Injection [Depo-Provera]"
"1000130","medroxyprogesterone acetate 400 MG/ML"
"1000131","medroxyprogesterone acetate 400 MG/ML Injectable Suspension"
"1000132","medroxyprogesterone acetate 400 MG/ML [Depo-Provera]"
"1000133","medroxyprogesterone acetate 400 MG/ML Injectable Suspension [Depo-Provera]"
"1000134","medroxyprogesterone acetate 2.5 MG"
"1000135","medroxyprogesterone acetate 2.5 MG Oral Tablet"
"1000138","medroxyprogesterone acetate 2.5 MG [Provera]"
"1000139","medroxyprogesterone acetate 2.5 MG Oral Tablet [Provera]"
"1000140","medroxyprogesterone acetate 5 MG"
"1000141","medroxyprogesterone acetate 5 MG Oral Tablet"
"1000144","medroxyprogesterone acetate 5 MG [Provera]"
"1000145","medroxyprogesterone acetate 5 MG Oral Tablet [Provera]"
"1000146","estradiol cypionate"
"1000147","estradiol cypionate 10 MG/ML"
"1000148","medroxyprogesterone acetate 50 MG/ML"
"1000149","estradiol cypionate 10 MG/ML / medroxyprogesterone acetate 50 MG/ML Injectable Suspension"
"1000153","1 ML medroxyprogesterone acetate 150 MG/ML Prefilled Syringe"
"1000154","1 ML medroxyprogesterone acetate 150 MG/ML Prefilled Syringe [Depo-Provera]"
"1000155","medroxyprogesterone acetate 160 MG/ML"
"1000156","0.65 ML medroxyprogesterone acetate 160 MG/ML Prefilled Syringe"
"1000157","medroxyprogesterone acetate 160 MG/ML [depo-subQ provera]"
"1000158","0.65 ML medroxyprogesterone acetate 160 MG/ML Prefilled Syringe [depo-subQ provera]"
"1000160","medroxyprogesterone acetate 20 MG"
"1000161","estradiol valerate 2 MG / medroxyprogesterone acetate 20 MG Oral Tablet"
"1000162","Alternaria alternata allergenic extract 20000 UNT/ML"
"1000163","Alternaria alternata allergenic extract 20000 UNT/ML Injectable Solution"
"1000350","medroxyprogesterone acetate 1.5 MG"
"1000351","estrogens, conjugated (USP) 0.3 MG / medroxyprogesterone acetate 1.5 MG Oral Tablet"
"1000352","estrogens, conjugated (USP) 0.45 MG / medroxyprogesterone acetate 1.5 MG Oral Tablet"
"1000353","estrogens, conjugated (USP) 0.625 MG / estrogens, esterified (USP) 0.625 MG / medroxyprogesterone acetate 5 MG Oral Tablet"
"1000355","estrogens, conjugated (USP) 0.625 MG / medroxyprogesterone acetate 2.5 MG Oral Tablet"
"1000356","estrogens, conjugated (USP) 0.625 MG / medroxyprogesterone acetate 5 MG Oral Tablet"
"1000363","medroxyprogesterone acetate 100 MG"
"1000364","medroxyprogesterone acetate 100 MG Oral Tablet"
"1000374","medroxyprogesterone acetate 160 MG/ML Injectable Suspension"
"1000375","medroxyprogesterone acetate 200 MG"
"1000376","medroxyprogesterone acetate 200 MG Oral Tablet"
"1000377","medroxyprogesterone acetate 200 MG/ML"
"1000378","medroxyprogesterone acetate 200 MG/ML Injectable Suspension"
"1000379","medroxyprogesterone acetate 250 MG"
"1000380","medroxyprogesterone acetate 250 MG Oral Tablet"
"1000383","medroxyprogesterone acetate 400 MG"
"1000384","medroxyprogesterone acetate 400 MG Oral Tablet"
"1000385","medroxyprogesterone acetate 500 MG"
"1000386","medroxyprogesterone acetate 500 MG Oral Tablet"
"1000395","{28 (estrogens, conjugated (USP) 0.625 MG / medroxyprogesterone acetate 2.5 MG Oral Tablet) } Pack"
"1000398","{28 (estrogens, conjugated (USP) 0.625 MG / medroxyprogesterone acetate 5 MG Oral Tablet) } Pack"
"1000404","norethindrone acetate 5 MG"
"1000405","norethindrone acetate 5 MG Oral Tablet"
"1000406","norethindrone acetate 5 MG [Aygestin]"
"1000407","norethindrone acetate 5 MG Oral Tablet [Aygestin]"
"1000479","{1 (bisacodyl 5 MG Delayed Release Oral Tablet) / 1 (2000 ML) (polyethylene glycol 3350 210000 MG / potassium chloride 740 MG / sodium bicarbonate 2860 MG / sodium chloride 5600 MG Powder for Oral Solution) } Pack"
"1000486","{14 (estrogens, conjugated (USP) 0.625 MG / medroxyprogesterone acetate 5 MG Oral Tablet) / 14 (estrogens, conjugated (USP) 0.625 MG Oral Tablet) } Pack"
"1000487","{14 (estrogens, conjugated (USP) 0.625 MG / medroxyprogesterone acetate 5 MG Oral Tablet) / 14 (estrogens, conjugated (USP) 0.625 MG Oral Tablet) } Pack [Premphase 28 Day]"
"1000490","{28 (estrogens, conjugated (USP) 0.3 MG / medroxyprogesterone acetate 1.5 MG Oral Tablet) } Pack"
"1000491","{28 (estrogens, conjugated (USP) 0.3 MG / medroxyprogesterone acetate 1.5 MG Oral Tablet) } Pack [Prempro 0.3/1.5 28 Day]"
"1000492","resveratrol"
"1000493","resveratrol 250 MG"
"1000494","resveratrol Oral Capsule"
"1000495","resveratrol 250 MG Oral Capsule"
"1000496","{28 (estrogens, conjugated (USP) 0.45 MG / medroxyprogesterone acetate 1.5 MG Oral Tablet) } Pack"
"1000497","{28 (estrogens, conjugated (USP) 0.45 MG / medroxyprogesterone acetate 1.5 MG Oral Tablet) } Pack [Prempro 0.45/1.5 28 Day]"
"1000499","{28 (estrogens, conjugated (USP) 0.625 MG / medroxyprogesterone acetate 2.5 MG Oral Tablet) } Pack [Prempro 0.625/2.5 28 Day]"
"1000500","{28 (estrogens, conjugated (USP) 0.625 MG / medroxyprogesterone acetate 5 MG Oral Tablet) } Pack [Prempro 0.625/5 28 Day]"
"1000502","dextromethorphan hydrobromide 6 MG/ML / guaifenesin 40 MG/ML / phenylephrine hydrochloride 1.5 MG/ML Oral Solution"
"1000556","fluorometholone 1 MG/ML / sulfacetamide sodium 100 MG/ML Ophthalmic Suspension"
"1000577","microcrystalline cellulose"
"1000581","trichlorfon"
"1000636","dimethicone 12.5 MG/ML Topical Lotion"
"1000637","pilocarpine hydrochloride 0.04 MG/MG"
"1000638","pilocarpine hydrochloride 0.04 MG/MG Ophthalmic Gel"
"1000646","pilocarpine hydrochloride 10 MG/ML"
